date,type,N,year,month
2002-01-01,ARREST,400,2002,2002-01-01
2002-01-01,CRIM,415,2002,2002-01-01
2002-01-01,CIVIL,1159,2002,2002-01-01
2002-01-01,WARN,1,2002,2002-01-01
2002-01-02,CRIM,516,2002,2002-01-01
2002-01-02,CIVIL,2280,2002,2002-01-01
2002-01-02,ARREST,235,2002,2002-01-01
2002-01-02,WARN,3,2002,2002-01-01
2002-01-03,ARREST,238,2002,2002-01-01
2002-01-03,CIVIL,2533,2002,2002-01-01
2002-01-03,CRIM,525,2002,2002-01-01
2002-01-03,WARN,3,2002,2002-01-01
2002-01-04,CRIM,530,2002,2002-01-01
2002-01-04,CIVIL,2689,2002,2002-01-01
2002-01-04,ARREST,256,2002,2002-01-01
2002-01-04,WARN,8,2002,2002-01-01
2002-01-05,CRIM,566,2002,2002-01-01
2002-01-05,CIVIL,2329,2002,2002-01-01
2002-01-05,ARREST,358,2002,2002-01-01
2002-01-05,WARN,4,2002,2002-01-01
2002-01-06,CIVIL,1617,2002,2002-01-01
2002-01-06,CRIM,448,2002,2002-01-01
2002-01-06,ARREST,316,2002,2002-01-01
2002-01-06,WARN,1,2002,2002-01-01
2002-01-07,CIVIL,1252,2002,2002-01-01
2002-01-07,CRIM,417,2002,2002-01-01
2002-01-07,ARREST,152,2002,2002-01-01
2002-01-07,WARN,2,2002,2002-01-01
2002-01-08,CIVIL,1618,2002,2002-01-01
2002-01-08,CRIM,425,2002,2002-01-01
2002-01-08,ARREST,192,2002,2002-01-01
2002-01-08,WARN,3,2002,2002-01-01
2002-01-09,ARREST,232,2002,2002-01-01
2002-01-09,CIVIL,2185,2002,2002-01-01
2002-01-09,CRIM,451,2002,2002-01-01
2002-01-09,WARN,2,2002,2002-01-01
2002-01-10,CIVIL,2592,2002,2002-01-01
2002-01-10,ARREST,246,2002,2002-01-01
2002-01-10,CRIM,592,2002,2002-01-01
2002-01-10,WARN,2,2002,2002-01-01
2002-01-11,CIVIL,2011,2002,2002-01-01
2002-01-11,ARREST,266,2002,2002-01-01
2002-01-11,CRIM,514,2002,2002-01-01
2002-01-11,WARN,2,2002,2002-01-01
2002-01-12,CRIM,659,2002,2002-01-01
2002-01-12,ARREST,377,2002,2002-01-01
2002-01-12,CIVIL,2251,2002,2002-01-01
2002-01-12,WARN,3,2002,2002-01-01
2002-01-13,ARREST,191,2002,2002-01-01
2002-01-13,CIVIL,926,2002,2002-01-01
2002-01-13,CRIM,449,2002,2002-01-01
2002-01-13,WARN,1,2002,2002-01-01
2002-01-14,CIVIL,2292,2002,2002-01-01
2002-01-14,CRIM,555,2002,2002-01-01
2002-01-14,ARREST,237,2002,2002-01-01
2002-01-14,WARN,3,2002,2002-01-01
2002-01-15,CIVIL,1966,2002,2002-01-01
2002-01-15,CRIM,506,2002,2002-01-01
2002-01-15,ARREST,256,2002,2002-01-01
2002-01-15,WARN,2,2002,2002-01-01
2002-01-16,CIVIL,2246,2002,2002-01-01
2002-01-16,CRIM,504,2002,2002-01-01
2002-01-16,ARREST,273,2002,2002-01-01
2002-01-16,WARN,2,2002,2002-01-01
2002-01-17,CRIM,492,2002,2002-01-01
2002-01-17,CIVIL,2096,2002,2002-01-01
2002-01-17,ARREST,232,2002,2002-01-01
2002-01-17,WARN,4,2002,2002-01-01
2002-01-18,CRIM,566,2002,2002-01-01
2002-01-18,CIVIL,2585,2002,2002-01-01
2002-01-18,ARREST,307,2002,2002-01-01
2002-01-18,WARN,5,2002,2002-01-01
2002-01-19,CRIM,460,2002,2002-01-01
2002-01-19,CIVIL,1718,2002,2002-01-01
2002-01-19,ARREST,326,2002,2002-01-01
2002-01-19,WARN,3,2002,2002-01-01
2002-01-20,CIVIL,1162,2002,2002-01-01
2002-01-20,CRIM,367,2002,2002-01-01
2002-01-20,ARREST,253,2002,2002-01-01
2002-01-20,WARN,1,2002,2002-01-01
2002-01-21,CRIM,377,2002,2002-01-01
2002-01-21,CIVIL,1277,2002,2002-01-01
2002-01-21,ARREST,176,2002,2002-01-01
2002-01-22,CIVIL,2229,2002,2002-01-01
2002-01-22,CRIM,491,2002,2002-01-01
2002-01-22,ARREST,227,2002,2002-01-01
2002-01-22,WARN,2,2002,2002-01-01
2002-01-23,CIVIL,2303,2002,2002-01-01
2002-01-23,ARREST,225,2002,2002-01-01
2002-01-23,CRIM,522,2002,2002-01-01
2002-01-23,WARN,3,2002,2002-01-01
2002-01-24,CIVIL,2142,2002,2002-01-01
2002-01-24,ARREST,289,2002,2002-01-01
2002-01-24,CRIM,473,2002,2002-01-01
2002-01-24,WARN,2,2002,2002-01-01
2002-01-25,CRIM,589,2002,2002-01-01
2002-01-25,CIVIL,2791,2002,2002-01-01
2002-01-25,ARREST,304,2002,2002-01-01
2002-01-25,WARN,1,2002,2002-01-01
2002-01-26,CIVIL,2495,2002,2002-01-01
2002-01-26,ARREST,416,2002,2002-01-01
2002-01-26,CRIM,474,2002,2002-01-01
2002-01-26,WARN,4,2002,2002-01-01
2002-01-27,CRIM,447,2002,2002-01-01
2002-01-27,CIVIL,1541,2002,2002-01-01
2002-01-27,ARREST,351,2002,2002-01-01
2002-01-27,WARN,2,2002,2002-01-01
2002-01-28,ARREST,232,2002,2002-01-01
2002-01-28,CIVIL,2501,2002,2002-01-01
2002-01-28,CRIM,494,2002,2002-01-01
2002-01-28,WARN,7,2002,2002-01-01
2002-01-29,CIVIL,2697,2002,2002-01-01
2002-01-29,CRIM,572,2002,2002-01-01
2002-01-29,ARREST,212,2002,2002-01-01
2002-01-29,WARN,3,2002,2002-01-01
2002-01-30,CRIM,558,2002,2002-01-01
2002-01-30,CIVIL,2104,2002,2002-01-01
2002-01-30,ARREST,241,2002,2002-01-01
2002-01-31,CIVIL,1346,2002,2002-01-01
2002-01-31,ARREST,191,2002,2002-01-01
2002-01-31,CRIM,421,2002,2002-01-01
2002-01-31,WARN,1,2002,2002-01-01
2002-02-01,ARREST,321,2002,2002-02-01
2002-02-01,CRIM,410,2002,2002-02-01
2002-02-01,CIVIL,1477,2002,2002-02-01
2002-02-01,WARN,2,2002,2002-02-01
